Entity,Code,Year,Death rate in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Death rate in ongoing conflicts (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts (best estimate) - Conflict type: interstate
Africa,,1946,0,0,0
Africa,,1947,3.5461435,0,0
Africa,,1948,0,0,0
Africa,,1949,0,0,0
Africa,,1950,0,0,0
Africa,,1951,0,0,0
Africa,,1952,1.2044187,0,0
Africa,,1953,1.2816381,0,0
Africa,,1954,10.646076,0,0
Africa,,1955,10.155446,0,0
Africa,,1956,9.9333935,0,0
Africa,,1957,10.106434,0,0
Africa,,1958,9.918353,0,0
Africa,,1959,9.64773,0,0
Africa,,1960,7.903602,11.836892,0.0097426195
Africa,,1961,9.865048,11.617491,0.53048944
Africa,,1962,9.630686,0.03900868,0
Africa,,1963,2.540132,0.36256522,0.18128261
Africa,,1964,2.6545773,1.5212973,0.044920895
Africa,,1965,2.5892901,1.4905838,0
Africa,,1966,2.6922696,0.8942841,0
Africa,,1967,2.6333394,5.868397,0
Africa,,1968,2.5720067,10.101917,0
Africa,,1969,2.4889686,9.838048,0
Africa,,1970,2.4235163,1.523552,0
Africa,,1971,2.3596003,0.9027549,0
Africa,,1972,2.8012917,0.80729777,0
Africa,,1973,2.7257493,0.16894564,0.0069812248
Africa,,1974,1.8035406,2.4356759,0
Africa,,1975,0,4.2572193,0
Africa,,1976,0,7.0672216,0
Africa,,1977,0,7.322265,0
Africa,,1978,0,9.240905,0.006051832
Africa,,1979,0,6.9372096,0
Africa,,1980,0,7.7586684,0
Africa,,1981,0,7.69935,0
Africa,,1982,0,7.421456,0
Africa,,1983,0,8.008367,0.18179512
Africa,,1984,0,12.925811,0
Africa,,1985,0,12.323053,0.011808593
Africa,,1986,0,12.525139,0
Africa,,1987,0,9.466941,1.6354996
Africa,,1988,0,6.704144,0
Africa,,1989,0,6.137579,0
Africa,,1990,0,11.094014,0
Africa,,1991,0,4.2457943,0
Africa,,1992,0,1.1178339,0
Africa,,1993,0,2.3808808,0
Africa,,1994,0,1.4796805,0
Africa,,1995,0,1.0225326,0
Africa,,1996,0,1.189845,0.008194726
Africa,,1997,0,3.4397159,0
Africa,,1998,0,3.1396673,0.13910182
Africa,,1999,0,1.935341,6.3998747
Africa,,2000,0,1.3084723,6.611117
Africa,,2001,0,1.3739151,0
Africa,,2002,0,0.9362768,0
Africa,,2003,0,0.7785931,0
Africa,,2004,0,0.72136205,0
Africa,,2005,0,0.18602023,0
Africa,,2006,0,0.4184024,0
Africa,,2007,0,0.37279433,0
Africa,,2008,0,0.5020479,0.003760256
Africa,,2009,0,0.5869211,0
Africa,,2010,0,0.4045627,0
Africa,,2011,0,0.8399453,0
Africa,,2012,0,0.5956455,0.03548732
Africa,,2013,0,0.67830616,0
Africa,,2014,0,0.94861174,0
Africa,,2015,0,0.9191367,0
Africa,,2016,0,0.86676997,0.002177814
Africa,,2017,0,0.8003812,0
Africa,,2018,0,0.5661096,0
Africa,,2019,0,0.67752343,0
Africa,,2020,0,2.3869796,0
Africa,,2021,0,10.381919,0
Africa,,2022,0,13.154753,0
Africa,,2023,0,1.5423695,0
Africa,,2024,0,1.2485664,0
Americas,,1946,0,0.33074415,0
Americas,,1947,0,1.2976087,0
Americas,,1948,0,0.63633174,0
Americas,,1949,0,0.012473047,0
Americas,,1950,0.010216279,0,0
Americas,,1951,0,0,0
Americas,,1952,0,0.12967198,0
Americas,,1953,0,0.007898242,0
Americas,,1954,0,0.016010888,0
Americas,,1955,0,0.2160694,0
Americas,,1956,0,0.078994945,0
Americas,,1957,0,0.077254616,0.010335065
Americas,,1958,0,0.07580626,0
Americas,,1959,0,0,0
Americas,,1960,0,0,0
Americas,,1961,0,0.065825984,0
Americas,,1962,0,0.09223474,0
Americas,,1963,0,0.0056366455,0
Americas,,1964,0,0.050727323,0
Americas,,1965,0,1.0070657,0
Americas,,1966,0,0.084583126,0
Americas,,1967,0,0.10404963,0
Americas,,1968,0,0.20531805,0
Americas,,1969,0,0.33706048,0.42022866
Americas,,1970,0,0.33645746,0
Americas,,1971,0,0.3165307,0
Americas,,1972,0,0.38804778,0
Americas,,1973,0,0.6278214,0
Americas,,1974,0,0.46782628,0
Americas,,1975,0,0.3641952,0
Americas,,1976,0,0.45270988,0
Americas,,1977,0,0.29613057,0
Americas,,1978,0,0.7289492,0
Americas,,1979,0,1.5947161,0
Americas,,1980,0,0.58948237,0
Americas,,1981,0,3.1464183,0
Americas,,1982,0,2.349123,0
Americas,,1983,0,2.6055355,0.02739883
Americas,,1984,0,2.5872576,0
Americas,,1985,0,1.9835545,0
Americas,,1986,0,1.7253513,0
Americas,,1987,0,1.6665441,0
Americas,,1988,0,0.97677183,0
Americas,,1989,0,1.1136734,0.11926152
Americas,,1990,0,0.36342758,0
Americas,,1991,0,0.299137,0
Americas,,1992,0,0.36852738,0
Americas,,1993,0,0.12115933,0
Americas,,1994,0,0.20396735,0
Americas,,1995,0,0.13267402,0.012776973
Americas,,1996,0,0.16660899,0
Americas,,1997,0,0.081994824,0
Americas,,1998,0,0.11943319,0
Americas,,1999,0,0.20211725,0
Americas,,2000,0,0.22683235,0
Americas,,2001,0,0.2500074,0
Americas,,2002,0,0.3989347,0
Americas,,2003,0,0.24281876,0
Americas,,2004,0,0.180311,0
Americas,,2005,0,0.17758618,0
Americas,,2006,0,0.0565815,0
Americas,,2007,0,0.038930457,0
Americas,,2008,0,0.035419576,0
Americas,,2009,0,0.04667958,0
Americas,,2010,0,0.048125796,0
Americas,,2011,0,0.021522038,0
Americas,,2012,0,0.022250118,0
Americas,,2013,0,0.014614336,0
Americas,,2014,0,0.012299524,0
Americas,,2015,0,0.013716571,0
Americas,,2016,0,0.0030417116,0
Americas,,2017,0,0,0
Americas,,2018,0,0.013043168,0
Americas,,2019,0,0.011552602,0
Americas,,2020,0,0.00274686,0
Americas,,2021,0,0.011033896,0
Americas,,2022,0,0.011847182,0
Americas,,2023,0,0.00858469,0
Americas,,2024,0,0.04005008,0
Asia and Oceania,,1946,3.3330836,15.713365,0.007970893
Asia and Oceania,,1947,3.2699416,23.556467,0
Asia and Oceania,,1948,3.3217084,27.363583,0.76194125
Asia and Oceania,,1949,3.3185973,27.12474,0.69123083
Asia and Oceania,,1950,3.330167,0.6976854,37.927876
Asia and Oceania,,1951,3.2992053,0.2583242,26.04557
Asia and Oceania,,1952,3.205289,0.1779251,7.2884097
Asia and Oceania,,1953,3.091379,0.21150069,3.565625
Asia and Oceania,,1954,3.0044043,0.10200701,0.070107915
Asia and Oceania,,1955,0.03844086,0.4232606,0
Asia and Oceania,,1956,0.025725933,0.734127,0
Asia and Oceania,,1957,0.017876944,0.45726994,0
Asia and Oceania,,1958,0,1.2914362,0.0960128
Asia and Oceania,,1959,0,1.6288576,0
Asia and Oceania,,1960,0,0.8614194,0
Asia and Oceania,,1961,0,1.0399541,0
Asia and Oceania,,1962,0.0026861476,1.4001993,0.13162124
Asia and Oceania,,1963,0,3.3890684,0.010761532
Asia and Oceania,,1964,0,2.7994235,0.01638084
Asia and Oceania,,1965,0,0.22731832,4.183011
Asia and Oceania,,1966,0,0.25348142,4.223232
Asia and Oceania,,1967,0,0.2944587,4.617566
Asia and Oceania,,1968,0,0.34438947,9.51128
Asia and Oceania,,1969,0,0.3483809,7.1965194
Asia and Oceania,,1970,0,2.1523314,7.182718
Asia and Oceania,,1971,0,4.513913,7.235145
Asia and Oceania,,1972,0,2.006993,11.280693
Asia and Oceania,,1973,0,1.9629048,7.088451
Asia and Oceania,,1974,0,1.9473652,8.429946
Asia and Oceania,,1975,0,3.1422992,1.3072271
Asia and Oceania,,1976,0,0.5897045,0.014370406
Asia and Oceania,,1977,0,0.57876045,0.016643703
Asia and Oceania,,1978,0,2.4770787,0.0047819247
Asia and Oceania,,1979,0,2.8669586,1.8379102
Asia and Oceania,,1980,0,2.002153,0.008011496
Asia and Oceania,,1981,0,1.7770151,0.008491179
Asia and Oceania,,1982,0,1.9076002,0
Asia and Oceania,,1983,0,2.6300106,0.001966872
Asia and Oceania,,1984,0,3.5835702,0.019486615
Asia and Oceania,,1985,0,2.955867,0
Asia and Oceania,,1986,0,2.7408493,0.0017860815
Asia and Oceania,,1987,0,1.9891008,0.038460083
Asia and Oceania,,1988,0,1.4467072,0.013741847
Asia and Oceania,,1989,0,0.3368258,0.0008426543
Asia and Oceania,,1990,0,0.33414263,0.00092596933
Asia and Oceania,,1991,0,0.5005454,0.0032483963
Asia and Oceania,,1992,0,0.5435636,0.0007987005
Asia and Oceania,,1993,0,0.29500815,0
Asia and Oceania,,1994,0,0.3899777,0.0012999256
Asia and Oceania,,1995,0,0.3877915,0
Asia and Oceania,,1996,0,0.3604732,0.0010514677
Asia and Oceania,,1997,0,0.3365793,0.0037608277
Asia and Oceania,,1998,0,0.35286918,0.0042925994
Asia and Oceania,,1999,0,0.23938908,0.026906066
Asia and Oceania,,2000,0,0.38130715,0.0063958634
Asia and Oceania,,2001,0,0.22537972,0.040541977
Asia and Oceania,,2002,0,0.2243402,0.0058737956
Asia and Oceania,,2003,0,0.15616845,0.0064876284
Asia and Oceania,,2004,0,0.16565178,0
Asia and Oceania,,2005,0,0.143642,0
Asia and Oceania,,2006,0,0.26022372,0
Asia and Oceania,,2007,0,0.31984273,0
Asia and Oceania,,2008,0,0.49499932,0
Asia and Oceania,,2009,0,0.6586328,0
Asia and Oceania,,2010,0,0.36986777,0
Asia and Oceania,,2011,0,0.2984967,0.0007250527
Asia and Oceania,,2012,0,0.30376503,0
Asia and Oceania,,2013,0,0.27646017,0.00075856486
Asia and Oceania,,2014,0,0.40181196,0.001187001
Asia and Oceania,,2015,0,0.5070845,0.0015116795
Asia and Oceania,,2016,0,0.47728977,0.002377296
Asia and Oceania,,2017,0,0.52902704,0.0035566823
Asia and Oceania,,2018,0,0.6359939,0.0030124183
Asia and Oceania,,2019,0,0.73305357,0.0037994054
Asia and Oceania,,2020,0,0.5023239,0.0043010334
Asia and Oceania,,2021,0,0.8693158,0.0012804567
Asia and Oceania,,2022,0,0.09528099,0.003411828
Asia and Oceania,,2023,0,0.09683309,0
Asia and Oceania,,2024,0,0.1074032,0.0013729244
Europe,,1946,0,9.455879,0.006993449
Europe,,1947,0,8.931897,0
Europe,,1948,0,7.8247604,0
Europe,,1949,0,6.9963803,0
Europe,,1950,0,0.004487021,0
Europe,,1951,0,0,0
Europe,,1952,0,0,0
Europe,,1953,0,0,0
Europe,,1954,0,0,0
Europe,,1955,0.012659469,0,0
Europe,,1956,0.012532676,0,0.5370421
Europe,,1957,0.012569006,0,0
Europe,,1958,0.012430125,0,0
Europe,,1959,0.012298626,0,0
Europe,,1960,0,0,0
Europe,,1961,0,0.189587,0
Europe,,1962,0,0.18770842,0
Europe,,1963,0,0,0
Europe,,1964,0,0,0
Europe,,1965,0,0,0
Europe,,1966,0,0,0
Europe,,1967,0,0,0
Europe,,1968,0,0,0
Europe,,1969,0,0,0
Europe,,1970,0,0,0
Europe,,1971,0,0.025370356,0
Europe,,1972,0,0.07056907,0
Europe,,1973,0,0.03702992,0
Europe,,1974,0,0.04277281,0
Europe,,1975,0,0.037622623,0
Europe,,1976,0,0.04246534,0
Europe,,1977,0,0.015893254,0
Europe,,1978,0,0.011538095,0
Europe,,1979,0,0.017149676,0
Europe,,1980,0,0.024109889,0
Europe,,1981,0,0.020063419,0
Europe,,1982,0,0.015367879,0.1346785
Europe,,1983,0,0.011825301,0
Europe,,1984,0,0.009559151,0
Europe,,1985,0,0.007863873,0
Europe,,1986,0,0.008378384,0
Europe,,1987,0,0.020508308,0
Europe,,1988,0,0.014153585,0
Europe,,1989,0,0.038887452,0
Europe,,1990,0,0.03185433,0
Europe,,1991,0,0.45741847,0
Europe,,1992,0,3.3035543,0
Europe,,1993,0,2.2448578,0
Europe,,1994,0,1.1748438,0
Europe,,1995,0,1.538931,0
Europe,,1996,0,0.36480263,0
Europe,,1997,0,0.003887875,0
Europe,,1998,0,0.17415912,0
Europe,,1999,0,0.97478235,0
Europe,,2000,0,0.3904933,0
Europe,,2001,0,0.115924835,0
Europe,,2002,0,0.17294694,0
Europe,,2003,0,0.06429182,0
Europe,,2004,0,0.15758681,0
Europe,,2005,0,0.09446798,0
Europe,,2006,0,0.034573726,0
Europe,,2007,0,0.023453396,0
Europe,,2008,0,0.1402615,0
Europe,,2009,0,0.09248501,0
Europe,,2010,0,0.05536977,0
Europe,,2011,0,0.047075648,0
Europe,,2012,0,0.07142513,0
Europe,,2013,0,0.042316817,0
Europe,,2014,0,0.6730182,0
Europe,,2015,0,0.26904148,0
Europe,,2016,0,0.119058765,0
Europe,,2017,0,0.07032432,0
Europe,,2018,0,0.036541827,0
Europe,,2019,0,0.044052597,0
Europe,,2020,0,1.0261221,0
Europe,,2021,0,0.032355595,0
Europe,,2022,0,0.045886938,11.962241
Europe,,2023,0,0.073199004,9.844546
Europe,,2024,0,0.01061303,9.916762
Middle East,,1946,0.124576144,0.060933985,0
Middle East,,1947,0,0,0
Middle East,,1948,0,5.2228417,25.84262
Middle East,,1949,0,0.32762685,1.6880462
Middle East,,1950,0,0.327492,0
Middle East,,1951,0,0.31946084,0.11730202
Middle East,,1952,0,0.31136987,0.10824968
Middle East,,1953,0,0.30330172,0
Middle East,,1954,0,0.29538253,0
Middle East,,1955,0,0.28768554,0
Middle East,,1956,0,0.27997246,2.3425822
Middle East,,1957,0,0.30531615,0
Middle East,,1958,0,1.7404385,0
Middle East,,1959,0,2.2725163,0
Middle East,,1960,0,0.25079766,0
Middle East,,1961,0,1.3545704,0
Middle East,,1962,0,2.4279735,0
Middle East,,1963,0,2.5392404,0
Middle East,,1964,0.021836411,1.2944624,0
Middle East,,1965,0.08486702,1.9137514,0
Middle East,,1966,0.14428866,2.2113268,0
Middle East,,1967,0.21705814,1.2070354,4.335556
Middle East,,1968,0,1.0155187,0
Middle East,,1969,0,1.7049785,2.215338
Middle East,,1970,0,0.9407121,1.9034721
Middle East,,1971,0,0.18292171,0
Middle East,,1972,0,0.34461188,0.1389564
Middle East,,1973,0,0.35276642,7.490542
Middle East,,1974,0,4.353659,3.572604
Middle East,,1975,0,10.312627,0
Middle East,,1976,0,38.764168,0
Middle East,,1977,0,0.17067051,0
Middle East,,1978,0,0.16582932,0.01470118
Middle East,,1979,0,1.5198904,0.085675895
Middle East,,1980,0,1.068737,19.73394
Middle East,,1981,0,0.9803203,51.213562
Middle East,,1982,0,20.205997,49.493275
Middle East,,1983,0,3.4454112,47.926777
Middle East,,1984,0,3.388767,31.303719
Middle East,,1985,0,3.2728443,30.341602
Middle East,,1986,0,7.748585,29.416052
Middle East,,1987,0,0.44840887,28.529074
Middle East,,1988,0,0.6642268,27.70836
Middle East,,1989,0,0.5253008,0
Middle East,,1990,0,0.57911897,0.43087754
Middle East,,1991,0,0.7907113,8.649
Middle East,,1992,0,0.8338618,0
Middle East,,1993,0,1.0862119,0
Middle East,,1994,0,2.2055717,0
Middle East,,1995,0,1.6706161,0
Middle East,,1996,0,1.6456357,0
Middle East,,1997,0,1.4112873,0
Middle East,,1998,0,0.7333179,0
Middle East,,1999,0,0.47619325,0
Middle East,,2000,0,0.11413135,0
Middle East,,2001,0,0.15792167,0
Middle East,,2002,0,0.2091901,0
Middle East,,2003,0,0.12286216,2.428749
Middle East,,2004,0,1.4181778,0
Middle East,,2005,0,0.90310216,0
Middle East,,2006,0,1.6792026,0
Middle East,,2007,0,0.8608764,0
Middle East,,2008,0,0.96144646,0
Middle East,,2009,0,0.5647598,0
Middle East,,2010,0,0.42559928,0
Middle East,,2011,0,1.0519572,0
Middle East,,2012,0,13.710375,0
Middle East,,2013,0,18.331005,0
Middle East,,2014,0,20.155096,0
Middle East,,2015,0,16.655704,0
Middle East,,2016,0,13.730146,0
Middle East,,2017,0,8.943057,0
Middle East,,2018,0,4.5326576,0.02477716
Middle East,,2019,0,2.5978692,0.030335587
Middle East,,2020,0,2.714932,0.09990291
Middle East,,2021,0,5.579729,0.03547298
Middle East,,2022,0,1.0990636,0.011759182
Middle East,,2023,0,6.129985,0.0329702
Middle East,,2024,0,5.940403,0.1349585
World,OWID_WRL,1946,1.7867212,10.596514,0.005852072
World,OWID_WRL,1947,2.033169,14.754752,0
World,OWID_WRL,1948,1.7677631,16.571407,1.2194419
World,OWID_WRL,1949,1.7631375,15.990801,0.42091656
World,OWID_WRL,1950,1.7583973,0.37940806,20.011131
World,OWID_WRL,1951,1.743651,0.14664488,13.768966
World,OWID_WRL,1952,1.7986162,0.121656604,3.864644
World,OWID_WRL,1953,1.7492477,0.12315428,1.8939492
World,OWID_WRL,1954,2.49215,0.06604665,0.037335582
World,OWID_WRL,1955,0.87577254,0.26469696,0
World,OWID_WRL,1956,0.8521374,0.41301078,0.19059552
World,OWID_WRL,1957,0.8640571,0.26608276,0.0014061714
World,OWID_WRL,1958,0.8398076,0.7632329,0.05166987
World,OWID_WRL,1959,0.82013696,0.9536256,0
World,OWID_WRL,1960,0.6744873,1.4821693,0.0008314275
World,OWID_WRL,1961,0.8482123,1.6519575,0.045612313
World,OWID_WRL,1962,0.83370376,0.8913965,0.07079162
World,OWID_WRL,1963,0.22001503,1.9504901,0.021511605
World,OWID_WRL,1964,0.23130853,1.7018534,0.012778798
World,OWID_WRL,1965,0.22878022,0.46171132,2.2743268
World,OWID_WRL,1966,0.24102384,0.3074085,2.3033688
World,OWID_WRL,1967,0.23980151,0.736063,2.6825664
World,OWID_WRL,1968,0.22786805,1.1495218,5.221564
World,OWID_WRL,1969,0.22178951,1.1778724,4.1041584
World,OWID_WRL,1970,0.21728933,1.4079567,4.041321
World,OWID_WRL,1971,0.21296568,2.6399658,4.012326
World,OWID_WRL,1972,0.25458318,1.268482,6.2775187
World,OWID_WRL,1973,0.249655,1.2164575,4.235976
World,OWID_WRL,1974,0.16666631,1.5514872,4.847275
World,OWID_WRL,1975,0,2.6106198,0.73192346
World,OWID_WRL,1976,0,2.5743933,0.00805791
World,OWID_WRL,1977,0,1.0736428,0.009343881
World,OWID_WRL,1978,0,2.3927357,0.0038551814
World,OWID_WRL,1979,0,2.5737162,1.037016
World,OWID_WRL,1980,0,2.022379,0.8072199
World,OWID_WRL,1981,0,2.2475426,2.1206357
World,OWID_WRL,1982,0,3.0001714,2.0983262
World,OWID_WRL,1983,0,2.810345,2.0634162
World,OWID_WRL,1984,0,3.864698,1.3625666
World,OWID_WRL,1985,0,3.3769805,1.3287041
World,OWID_WRL,1986,0,3.4566927,1.3046032
World,OWID_WRL,1987,0,2.389186,1.4764825
World,OWID_WRL,1988,0,1.7094703,1.2647501
World,OWID_WRL,1989,0,1.0405909,0.016629225
World,OWID_WRL,1990,0,1.4909214,0.020440856
World,OWID_WRL,1991,0,0.89689046,0.40508494
World,OWID_WRL,1992,0,0.97224617,0.00045533341
World,OWID_WRL,1993,0,0.8061595,0
World,OWID_WRL,1994,0,0.6798467,0.00074213283
World,OWID_WRL,1995,0,0.6381181,0.0017240316
World,OWID_WRL,1996,0,0.49430108,0.0015621795
World,OWID_WRL,1997,0,0.68069965,0.0021497738
World,OWID_WRL,1998,0,0.65231717,0.019149952
World,OWID_WRL,1999,0,0.54224575,0.79268914
World,OWID_WRL,2000,0,0.4622605,0.8161792
World,OWID_WRL,2001,0,0.3551083,0.023169346
World,OWID_WRL,2002,0,0.33063787,0.0033548018
World,OWID_WRL,2003,0,0.23477909,0.12752739
World,OWID_WRL,2004,0,0.3029629,0
World,OWID_WRL,2005,0,0.1876046,0
World,OWID_WRL,2006,0,0.30309397,0
World,OWID_WRL,2007,0,0.28515625,0
World,OWID_WRL,2008,0,0.42059982,0.0005128194
World,OWID_WRL,2009,0,0.50058264,0
World,OWID_WRL,2010,0,0.30117357,0
World,OWID_WRL,2011,0,0.35328025,0.00040897078
World,OWID_WRL,2012,0,1.0263638,0.0051106527
World,OWID_WRL,2013,0,1.2852525,0.00042632257
World,OWID_WRL,2014,0,1.574798,0.00066565827
World,OWID_WRL,2015,0,1.4009945,0.0008456545
World,OWID_WRL,2016,0,1.2006074,0.0016583158
World,OWID_WRL,2017,0,0.94261444,0.0019803927
World,OWID_WRL,2018,0,0.7107463,0.0031132689
World,OWID_WRL,2019,0,0.6714611,0.0038766775
World,OWID_WRL,2020,0,0.92273504,0.008238251
World,OWID_WRL,2021,0,2.5156338,0.002798412
World,OWID_WRL,2022,0,2.314838,1.1463625
World,OWID_WRL,2023,0,0.6904603,0.93356687
World,OWID_WRL,2024,0,0.6391193,0.93870425